RK,Name,First Name,Last name,REC,YDS,AVG,LNG,TD
1,Rome Odunze,Rome,Odunze,92,"1,640",17.8,52,13
2,Malik Nabers,Malik,Nabers,89,"1,569",17.6,51,14
3,Ricky White,Ricky,White,88,"1,483",16.9,82,8
4,Malik Washington,Malik,Washington,110,"1,426",13,64,9
5,Tetairoa McMillan,Tetairoa,McMillan,90,"1,402",15.6,57,10
6,Troy Franklin,Troy,Franklin,81,"1,383",17.1,84,14
7,Caullin Lacy,Caullin,Lacy,91,"1,316",14.5,84,7
8,Xavier Legette,Xavier,Legette,71,"1,255",17.7,76,7
9,Luther Burden,Luther,Burden,86,"1,212",14.1,56,9
10,Marvin Harrison,Marvin,Harrison,67,"1,211",18.1,75,14
11,Elijah Sarratt,Elijah,Sarratt,82,"1,191",14.5,48,8
12,Tez Johnson,Tez,Johnson,86,"1,182",13.7,77,10
13,Brian Thomas,Brian,Thomas,68,"1,177",17.3,86,17
14,LaJohntay Wester,LaJohntay,Wester,108,"1,168",10.8,76,8
15,Ja'Lynn Polk,Ja'Lynn,Polk,69,"1,159",16.8,92,9
16,Joshua Cephus,Joshua,Cephus,89,"1,151",12.9,84,10
17,Javon Baker,Javon,Baker,52,"1,139",21.9,86,7
18,Tory Horton,Tory,Horton,96,"1,136",11.8,76,8
19,Kris Mitchell,Kris,Mitchell,64,"1,118",17.5,80,7
20,Xavier Restrepo,Xavier,Restrepo,85,"1,092",12.8,48,6
21,Roc Taylor,Roc,Taylor,69,"1,083",15.7,85,4
22,Jalen Royals,Jalen,Royals,71,"1,080",15.2,71,15
23,CJ Daniels,CJ,Daniels,55,"1,067",19.4,75,10
24,Tahj Washington,Tahj,Washington,59,"1,062",18,76,8
25,Isaiah Williams,Isaiah,Williams,82,"1,055",12.9,67,5
26,Reggie Brown,Reggie,Brown,53,"1,054",19.9,80,9
26,Sean Atkins,Sean,Atkins,92,"1,054",11.5,88,7
28,Kelly Akharaiyi,Kelly,Akharaiyi,48,"1,033",21.5,80,7
29,Sam Pinckney,Sam,Pinckney,72,"1,027",14.3,52,8
30,Steven McBride,Steven,McBride,63,"1,024",16.3,65,9
31,Xavier Worthy,Xavier,Worthy,75,"1,014",13.5,54,5
32,Elic Ayomanor,Elic,Ayomanor,62,"1,013",16.3,97,6
33,Ja'Mori Maclin,Ja'Mori,Maclin,57,"1,004",17.6,80,11
34,Jabre Barber,Jabre,Barber,75,999,13.3,52,5
35,Luke McCaffrey,Luke,McCaffrey,71,992,14,51,13
36,Brennan Presley,Brennan,Presley,101,991,9.8,29,6
37,Tre Harris,Tre,Harris,54,985,18.2,56,8
38,Malachi Corley,Malachi,Corley,79,984,12.5,75,11
39,Jayden Higgins,Jayden,Higgins,53,983,18.5,75,6
40,Ricky Pearsall,Ricky,Pearsall,65,965,14.8,61,4
41,Drake Stoops,Drake,Stoops,84,962,11.5,60,10
42,Khaleb Hood,Khaleb,Hood,101,948,9.4,43,5
43,Terrell Vaughn,Terrell,Vaughn,89,933,10.5,76,11
44,Josh Kelly,Josh,Kelly,61,923,15.1,51,8
45,Xavier Weaver,Xavier,Weaver,68,908,13.4,48,4
46,Kaedin Robinson,Kaedin,Robinson,67,905,13.5,52,10
47,Demeer Blankumsee,Demeer,Blankumsee,53,901,17,70,7
48,Kobe Hudson,Kobe,Hudson,44,900,20.5,75,8
49,Rashod Owens,Rashod,Owens,63,895,14.2,45,5
49,Joey Hobert,Joey,Hobert,76,895,11.8,83,8
51,Jamaal Pritchett,Jamaal,Pritchett,57,883,15.5,51,8
52,Robert Lewis,Robert,Lewis,70,877,12.5,97,7
53,Ashtyn Hawkins,Ashtyn,Hawkins,55,874,15.9,48,3
54,Eric McAlister,Eric,McAlister,47,873,18.6,83,5
55,Jacolby George,Jacolby,George,57,864,15.2,85,8
56,Lincoln Victor,Lincoln,Victor,89,860,9.7,50,5
57,Jamari Thrash,Jamari,Thrash,63,858,13.6,85,6
57,Tejhaun Palmer,Tejhaun,Palmer,47,858,18.3,80,7
59,Jacob Cowing,Jacob,Cowing,90,848,9.4,57,13
60,Adonai Mitchell,Adonai,Mitchell,55,845,15.4,62,11
61,Kyle Williams,Kyle,Williams,61,842,13.8,63,6
62,Kevin Concepcion,Kevin,Concepcion,71,839,11.8,72,10
63,Will Pauling,Will,Pauling,74,837,11.3,53,6
64,Jordan Moore,Jordan,Moore,62,835,13.5,49,8
65,Pofele Ashlock,Pofele,Ashlock,83,832,10,53,9
66,Daniel Jackson,Daniel,Jackson,59,831,14.1,39,8
67,Dayton Wade,Dayton,Wade,55,830,15.1,58,4
68,Jaylin Noel,Jaylin,Noel,66,820,12.4,82,7
69,Samuel Brown,Samuel,Brown,62,815,13.1,53,3
70,Derwin Burgess,Derwin,Burgess,74,813,11,68,6
71,Malachi Fields,Malachi,Fields,58,811,14,39,5
72,Squirrel White,Squirrel,White,67,803,12,83,2
73,Jermaine Burton,Jermaine,Burton,39,798,20.5,68,8
73,Nic Anderson,Nic,Anderson,38,798,21,63,10
75,Smoke Harris,Smoke,Harris,83,796,9.6,64,4
76,Ainias Smith,Ainias,Smith,53,795,15,42,2
77,Anthony Simpson,Anthony,Simpson,57,792,13.9,71,3
78,Brenden Rice,Brenden,Rice,45,791,17.6,75,12
79,Jeshaun Jones,Jeshaun,Jones,56,790,14.1,64,4
80,Roman Wilson,Roman,Wilson,48,789,16.4,47,12
81,Erik Brooks,Erik,Brooks,60,788,13.1,49,5
82,Noah Smith,Noah,Smith,79,783,9.9,42,6
83,Xzavier Henderson,Xzavier,Henderson,58,782,13.5,55,3
83,Lawrence Arnold,Lawrence,Arnold,44,782,17.8,80,6
85,Cyrus Allen,Cyrus,Allen,46,778,16.9,85,4
86,Dallin Holker,Dallin,Holker,64,767,12,42,6
87,Andrew Armstrong,Andrew,Armstrong,56,764,13.6,48,5
88,Kole Wilson,Kole,Wilson,66,747,11.3,77,8
89,Silas Bolden,Silas,Bolden,54,746,13.8,50,5
90,Jordan Watkins,Jordan,Watkins,53,741,14,68,3
91,Jared Brown,Jared,Brown,58,740,12.8,59,4
92,Chris Lewis,Chris,Lewis,32,735,23,64,10
93,Nick Nash,Nick,Nash,48,728,15.2,58,8
94,Kamdyn Benjamin,Kamdyn,Benjamin,47,727,15.5,51,6
95,Justus Ross-Simmons,Justus,Ross-Simmons,45,724,16.1,75,3
96,Tai Felton,Tai,Felton,48,723,15.1,57,6
97,Bub Means,Bub,Means,41,721,17.6,75,6
97,Travis Hunter,Travis,Hunter,57,721,12.6,47,5
99,Anthony Gould,Anthony,Gould,44,718,16.3,75,2
100,Cam Johnson,Cam,Johnson,54,715,13.2,52,6
101,Brock Bowers,Brock,Bowers,56,714,12.8,49,6
101,Eric Singleton,Eric,Singleton,48,714,14.9,58,6
103,Elijhah Badger,Elijhah,Badger,65,713,11,65,3
104,J.J. Jones,J.J.,Jones,46,711,15.5,57,3
104,Chris Brazzell,Chris,Brazzell,44,711,16.2,47,5
106,Jalen Moss,Jalen,Moss,55,706,12.8,60,6
107,Corey Rucker,Corey,Rucker,36,705,19.6,68,2
108,Jeremiah Hunter,Jeremiah,Hunter,62,703,11.3,50,7
109,Bryce Kirtz,Bryce,Kirtz,49,701,14.3,80,5
110,Devontez Walker,Devontez,Walker,41,699,17,56,7
111,Holden Willis,Holden,Willis,46,697,15.2,62,5
112,Jerjuan Newton,Jerjuan,Newton,52,696,13.4,42,9
113,Jalil Farooq,Jalil,Farooq,45,694,15.4,49,2
114,Kenneth Womack,Kenneth,Womack,76,691,9.1,34,1
115,Courtney Jackson,Courtney,Jackson,39,689,17.7,60,7
116,Will Sheppard,Will,Sheppard,47,684,14.6,85,8
117,Theo Wease,Theo,Wease,49,682,13.9,77,6
117,Ja'Tavion Sanders,Ja'Tavion,Sanders,45,682,15.2,50,2
119,Gage Larvadain,Gage,Larvadain,42,679,16.2,99,6
120,Ben Sinnott,Ben,Sinnott,49,676,13.8,44,6
121,KeAndre Lambert-Smith,KeAndre,Lambert-Smith,53,673,12.7,72,4
122,Perry Carter,Perry,Carter,38,672,17.7,63,4
123,Casey Washington,Casey,Washington,49,670,13.7,80,4
124,Isaiah Bond,Isaiah,Bond,48,668,13.9,52,4
125,Da'Quan Felton,Da'Quan,Felton,38,667,17.6,84,8
126,Jalon Calhoun,Jalon,Calhoun,50,666,13.3,69,4
126,Kaden Prather,Kaden,Prather,42,666,15.9,57,5
128,Junior Vandeross,Junior,Vandeross,47,664,14.1,68,4
129,Sam Wiglusz,Sam,Wiglusz,56,660,11.8,38,3
130,Lideatrick Griffin,Lideatrick,Griffin,50,658,13.2,65,4
130,Keon Coleman,Keon,Coleman,50,658,13.2,58,11
132,Logan Loya,Logan,Loya,59,655,11.1,49,5
133,Jahmal Banks,Jahmal,Banks,59,653,11.1,33,4
134,Colston Loveland,Colston,Loveland,45,649,14.4,54,4
135,Amad Anderson,Amad,Anderson,37,647,17.5,75,3
136,Lewis Bond,Lewis,Bond,52,646,12.4,42,7
137,Donaven McCulley,Donaven,McCulley,48,644,13.4,69,6
138,Ramel Keyton,Ramel,Keyton,35,642,18.3,60,6
139,Naiem Simmons,Naiem,Simmons,39,637,16.3,53,5
140,Dane Key,Dane,Key,42,636,15.1,58,6
141,Elijah Metcalf,Elijah,Metcalf,54,634,11.7,71,6
142,Deion Burks,Deion,Burks,47,629,13.4,84,7
143,Micah Davis,Micah,Davis,36,628,17.4,76,6
144,Jonathan Brady,Jonathan,Brady,38,624,16.4,80,4
145,Monaray Baldwin,Monaray,Baldwin,38,623,16.4,71,4
145,Harold Fannin,Harold,Fannin,44,623,14.2,56,6
147,Chase Sowell,Chase,Sowell,47,622,13.2,45,1
148,Jakarius Caston,Jakarius,Caston,33,621,18.8,80,6
149,Taylor Morin,Taylor,Morin,41,617,15,61,2
149,Miles Cross,Miles,Cross,47,617,13.1,42,5
